ATVI	2008-08-07	2099-12-31
ADBE	2003-01-02	2099-12-31
AMD	2018-12-24	2099-12-31
ALXN	2011-04-04	2099-12-31
ALGN	2017-10-23	2099-12-31
GOOGL	2014-04-03	2099-12-31
GOOG	2005-12-19	2099-12-31
AMZN	2003-01-02	2099-12-31
AMGN	2003-01-02	2099-12-31
ADI	2012-12-24	2099-12-31
ANSS	2019-12-23	2099-12-31
AAPL	2003-01-02	2099-12-31
AMAT	2003-01-02	2099-12-31
ASML	2017-12-18	2099-12-31
ADSK	2004-12-20	2099-12-31
ADP	2008-12-22	2099-12-31
BIDU	2007-12-04	2099-12-31
BIIB	2003-11-13	2099-12-31
BMRN	2015-07-27	2099-12-31
BKNG	2018-02-27	2099-12-31
AVGO	2011-12-19	2099-12-31
CDNS	2017-12-18	2099-12-31
CDW	2019-12-23	2099-12-31
CERN	2009-07-17	2099-12-31
CHTR	2013-07-25	2099-12-31
CHKP	2003-01-02	2099-12-31
CTAS	2016-12-19	2099-12-31
CSCO	2003-01-02	2099-12-31
CTXS	2003-01-02	2099-12-31
CTSH	2004-12-29	2099-12-31
CMCSA	2003-01-02	2099-12-31
CPRT	2019-12-23	2099-12-31
COST	2003-01-02	2099-12-31
CSX	2016-02-22	2099-12-31
DXCM	2020-04-20	2099-12-31
DOCU	2020-06-18	2099-12-31
DLTR	2010-12-20	2099-12-31
EBAY	2003-01-02	2099-12-31
EA	2014-12-22	2099-12-31
EXC	2019-11-21	2099-12-31
EXPE	2015-12-21	2099-12-31
FB	2012-12-12	2099-12-31
FAST	2003-01-02	2099-12-31
FISV	2003-01-02	2099-12-31
FOXA	2013-07-01	2099-12-31
FOX	2014-12-22	2099-12-31
GILD	2003-01-02	2099-12-31
IDXX	2017-03-20	2099-12-31
ILMN	2013-12-23	2099-12-31
INCY	2015-10-07	2099-12-31
INTC	2003-01-02	2099-12-31
INTU	2003-01-02	2099-12-31
ISRG	2006-02-01	2099-12-31
JD	2015-07-29	2099-12-31
KDP	2020-10-19	2099-12-31
KLAC	2016-12-19	2099-12-31
KHC	2015-07-06	2099-12-31
LRCX	2014-12-22	2099-12-31
LBTYA	2012-12-24	2099-12-31
LBTYK	2014-12-22	2099-12-31
LULU	2018-12-24	2099-12-31
MAR	2013-11-18	2099-12-31
MXIM	2015-12-21	2099-12-31
MELI	2017-06-19	2099-12-31
MCHP	2016-07-18	2099-12-31
MU	2010-12-20	2099-12-31
MSFT	2003-01-02	2099-12-31
MRNA	2020-07-20	2099-12-31
MDLZ	2012-10-02	2099-12-31
MNST	2012-01-09	2099-12-31
NTES	2016-03-16	2099-12-31
NFLX	2013-06-06	2099-12-31
NVDA	2005-12-19	2099-12-31
